colm1;colm2
-0.5733;-1.35546
-1.42681;0.36791
0.18012;1.46312
1.44612;-0.28147
-1.45026;-0.26905
0.67977;1.30909
-1.47546;-0.02837
-1.20269;0.85622
1.39755;0.47636
1.12124;-0.9617
0.56869;1.36399
-1.45883;-0.23494
1.26315;0.76944
-1.0164;-1.07325
-1.011;-1.07925
1.47765;-0.08101
0.59668;1.35552
-0.28797;-1.45224
1.46263;0.23295
-0.77567;-1.26281
1.20921;0.85694
-0.60556;1.35405
0.23476;1.46489
1.03427;-1.06418
1.20789;-0.8632
-1.19857;0.87712
1.43614;0.38133
0.83725;-1.22699
1.4538;-0.30954
1.44193;0.36294
-0.89624;1.18847
0.77049;-1.27209
-1.35286;-0.62165
-1.32126;0.68789
1.15951;-0.9346
1.11704;-0.98612
-0.02134;1.49036
-0.74834;-1.28931
1.08578;1.02307
-1.41597;-0.46893
1.03562;1.07547
-1.19262;0.89874
-1.44424;0.38174
0.94133;1.16095
-0.1162;1.49083
-1.38268;0.57074
1.24988;0.8209
0.14349;1.48942
-1.45671;0.34573
-0.03433;1.49683
1.19214;-0.90631
-1.40083;-0.53032
-0.59006;1.3778
-0.29405;-1.46933
-0.9162;1.18774
-1.38925;0.56639
-0.93671;1.17307
-1.46902;0.30987
-0.77516;-1.28499
-1.50217;-0.02842
-1.39314;0.56509
0.71723;-1.32045
-0.94726;-1.16779
0.35919;1.46027
-1.42597;-0.47951
0.35384;-1.46272
-1.50358;-0.07084
-0.7198;1.32314
-0.28421;1.47999
0.4279;1.44573
1.4205;-0.50411
-1.48404;-0.26704
-1.45483;-0.39867
0.499;1.42467
-1.42074;-0.51081
-0.88033;-1.22681
0.95663;-1.1684
1.48791;0.26083
-0.06882;-1.5099
-0.77466;1.29835
-1.51021;-0.07834
0.70702;1.3383
-1.50849;0.12003
0.91924;-1.20266
1.3988;-0.58036
-1.01721;-1.1218
-0.16848;-1.50508
1.44913;-0.44263
-1.49179;-0.27524
-1.4601;-0.41286
-0.96554;-1.17078
1.20337;0.92521
0.16529;1.50958
0.58198;1.4032
0.36799;1.47468
1.51181;-0.16095
-0.00981;-1.51981
0.44627;-1.45323
-1.37459;-0.65128
1.4922;0.29966
1.46365;0.41868
1.49767;0.27492
1.38422;-0.63476
-1.16252;-0.98575
0.86529;-1.25471
-1.26292;0.85541
-1.50422;-0.25321
-1.52576;0.02701
-0.19356;1.51447
-0.39112;1.47647
1.52707;0.05142
0.27813;-1.50168
1.3444;0.7284
-1.46645;-0.4321
0.96712;-1.1839
0.44432;-1.46325
-1.19622;0.95607
-0.25866;-1.50876
-0.66392;-1.38002
-0.50436;1.44665
0.73542;1.34427
0.54172;-1.43403
1.2574;0.87833
0.84219;-1.2818
0.71556;-1.35715
0.09174;-1.53144
0.90208;-1.24163
0.96366;1.19663
1.49077;0.37077
-1.38576;-0.66525
-0.49891;1.4549
0.37687;-1.49079
1.00958;1.1606
-1.03688;1.13772
1.47699;0.43391
-0.92289;-1.23255
-1.4858;0.40586
0.96492;-1.20136
-1.35157;0.74175
1.1618;1.01493
-1.48721;0.41059
1.52822;-0.20895
-1.34531;0.7587
-1.26643;0.88497
0.62658;1.41178
-1.47405;0.4642
-0.02217;-1.54539
-1.37697;-0.70315
0.11634;-1.54199
-0.50016;-1.46354
-1.28072;0.86878
1.52243;0.28196
-0.32318;1.51543
0.42568;-1.48826
-0.6055;1.42755
0.89363;1.26682
1.50367;-0.37556
-1.17218;1.01721
-1.46424;-0.51445
0.43751;1.48913
1.36466;-0.73985
-1.41131;0.64812
-1.24757;0.92587
-0.60583;1.43138
-1.51819;0.33404
0.74804;1.36422
-1.47082;-0.50479
-1.5408;0.21818
-1.09289;-1.10754
0.79954;-1.33507
1.38747;0.70655
-0.7378;1.37289
0.24666;-1.53893
0.19409;1.54666
-1.54467;0.21454
0.48278;1.48376
-1.43873;0.60422
0.91684;-1.26321
-0.9385;-1.247
-1.40137;-0.68823
0.42214;-1.50338
0.86281;1.30407
1.54867;-0.21049
-1.33566;0.81566
-0.76125;-1.36694
1.32613;-0.82968
0.18803;-1.5543
1.49151;0.47623
-1.21296;-0.99115
-1.56608;0.04889
1.44719;-0.60254
0.64842;1.42844
-0.39661;-1.51661
-0.28638;1.54374
-0.45153;1.5044
-1.06904;1.15121
-1.54201;-0.29942
0.28032;-1.54512
-1.5591;-0.20048
1.16777;1.05199
-1.52161;-0.39672
1.01518;1.20161
-1.5109;0.4394
1.57049;0.11179
